['2017-08-29 09:20 Tue', '367.41', '372.29', '371.23', '371.23', '365.99', '396.55', '327.02', '', '', 'SXXP']
['2017-08-30 09:20 Wed', '370.68', '368.42', '369.89', '371.33', '369.88', '396.55', '327.02', '', '', 'SXXP']
['2017-08-31 09:20 Thu', '374.38', '371.01', '371.73', '374.42', '371.73', '396.55', '327.02', '', '', 'SXXP']
['2017-09-01 09:20 Fri', '376.30', '373.88', '374.56', '376.44', '374.56', '396.55', '327.02', '', '', 'SXXP']
['2017-09-04 09:20 Mon', '374.26', '376.14', '375.03', '375.03', '373.74', '396.55', '327.02', '', '', 'SXXP']
['2017-09-05 09:20 Tue', '374.68', '374.18', '374.19', '375.89', '374.13', '396.55', '327.02', '', '', 'SXXP']
['2017-09-06 09:20 Wed', '373.86', '373.71', '372.96', '374.01', '371.62', '396.55', '327.02', '', '', 'SXXP']
['2017-09-07 09:20 Thu', '374.39', '373.95', '374.13', '375.91', '373.40', '396.55', '327.02', '', '', 'SXXP']
['2017-09-08 09:20 Fri', '375.12', '374.95', '374.33', '375.28', '373.42', '396.55', '327.02', '', '', 'SXXP']
['2017-09-11 09:20 Mon', '378.82', '375.51', '376.39', '379.24', '376.39', '396.55', '327.02', '', '', 'SXXP']
['2017-09-12 09:20 Tue', '381.40', '379.43', '379.80', '381.98', '379.80', '396.55', '327.02', '', '', 'SXXP']
['2017-09-13 09:20 Wed', '381.05', '381.42', '381.00', '381.05', '379.93', '396.55', '327.02', '', '', 'SXXP']
['2017-09-14 09:20 Thu', '381.22', '381.34', '381.24', '382.01', '380.56', '396.55', '327.02', '', '', 'SXXP']
['2017-09-15 09:20 Fri', '380.32', '381.79', '381.98', '381.98', '380.02', '396.55', '327.02', '', '', 'SXXP']
['2017-09-19 09:20 Tue', '381.96', '381.95', '381.93', '382.14', '381.56', '396.55', '327.02', '', '', 'SXXP']
['2017-09-20 09:20 Wed', '381.85', '382.12', '381.74', '382.58', '381.30', '396.55', '327.02', '', '', 'SXXP']
['2017-09-21 09:20 Thu', '382.82', '381.98', '382.62', '383.59', '382.55', '396.55', '327.02', '', '', 'SXXP']
['2017-09-22 09:20 Fri', '383.00', '382.88', '382.26', '383.68', '382.07', '396.55', '327.02', '', '', 'SXXP']
