['2017-08-29 09:20 Tue', '108.313', '108.242', '108.258', '108.328', '108.250', '108.328', '107.938', '342200', '647818', 'TUU7']
['2017-08-30 09:20 Wed', '108.25', '108.281', '108.289', '108.289', '108.234', '108.328', '107.938', '228500', '298046', 'TUU7']
['2017-08-31 09:20 Thu', '108.156', '108.148', '108.164', '108.164', '108.125', '108.219', '107.938', '81900', '1391250', 'TUZ7']
['2017-09-01 09:20 Fri', '108.148', '108.156', '108.156', '108.211', '108.141', '108.219', '107.938', '126100', '1440372', 'TUZ7']
['2017-09-04 09:20 Mon', '108.164', '108.109', '108.156', '108.172', '108.148', '108.219', '107.938', '18900', '1437783', 'TUZ7']
['2017-09-05 09:20 Tue', '108.188', '108.109', '108.156', '108.188', '108.133', '108.219', '107.938', '100800', '1437768', 'TUZ7']
['2017-09-06 09:20 Wed', '108.234', '108.234', '108.227', '108.242', '108.211', '108.242', '107.938', '74600', '1460369', 'TUZ7']
['2017-09-07 09:20 Thu', '108.242', '108.203', '108.211', '108.250', '108.203', '108.250', '107.938', '81200', '1478003', 'TUZ7']
['2017-09-08 09:20 Fri', '108.266', '108.266', '108.273', '108.313', '108.258', '108.313', '107.938', '102600', '1490836', 'TUZ7']
['2017-09-11 09:20 Mon', '108.211', '108.281', '108.266', '108.273', '108.203', '108.313', '107.938', '64599', '1497347', 'TUZ7']
['2017-09-12 09:20 Tue', '108.148', '108.188', '108.18', '108.188', '108.141', '108.313', '107.938', '86300', '1507181', 'TUZ7']
['2017-09-13 09:20 Wed', '108.133', '108.148', '108.148', '108.164', '108.125', '108.313', '107.938', '57800', '1489504', 'TUZ7']
['2017-09-14 09:20 Thu', '108.047', '108.109', '108.109', '108.125', '108.039', '108.313', '107.938', '121500', '1479470', 'TUZ7']
['2017-09-15 09:20 Fri', '108.063', '108.070', '108.078', '108.102', '108.031', '108.313', '107.938', '106300', '1465257', 'TUZ7']
['2017-09-19 09:20 Tue', '108.00', '108.000', '107.984', '108.023', '107.977', '108.313', '107.938', '75600', '1487209', 'TUZ7']
['2017-09-20 09:20 Wed', '107.992', '107.977', '107.977', '108.016', '107.969', '108.313', '107.938', '57700', '1491801', 'TUZ7']
['2017-09-21 09:20 Thu', '107.898', '107.891', '107.891', '107.914', '107.875', '108.313', '107.867', '101000', '1498396', 'TUZ7']
['2017-09-22 09:20 Fri', '107.906', '107.875', '107.875', '107.922', '107.875', '108.313', '107.867', '86700', '1509061', 'TUZ7']
['2017-09-25 09:27 Mon', '107.891', '107.891', '107.891', '107.930', '107.875', '108.313', '107.867', '80200', '1530698', 'TUZ7']
['2017-09-27 09:27 Wed', '107.844', '107.906', '107.891', '107.898', '107.828', '108.313', '107.828', '145300', '1579930', 'TUZ7']
['2017-09-28 09:27 Thu', '107.867', '107.859', '107.867', '107.875', '107.813', '108.313', '107.813', '124600', '1606253', 'TUZ7']
['2017-09-29 09:27 Fri', '107.906', '107.914', '107.906', '107.914', '107.883', '108.313', '107.813', '116100', '1588569', 'TUZ7']
