['2017-08-29 09:20 Tue', '118.914', '118.656', '118.688', '118.992', '118.680', '118.992', '116.422', '557900', '942023', 'FVU7']
['2017-08-30 09:20 Wed', '118.414', '118.516', '118.555', '118.555', '118.367', '118.727', '117.133', '417300', '2864900', 'FVZ7']
['2017-08-31 09:20 Thu', '118.438', '118.430', '118.461', '118.469', '118.359', '118.727', '117.133', '159300', '3067123', 'FVZ7']
['2017-09-01 09:20 Fri', '118.453', '118.500', '118.516', '118.672', '118.430', '118.727', '117.133', '289700', '3089325', 'FVZ7']
['2017-09-04 09:20 Mon', '118.492', '118.367', '118.523', '118.539', '118.453', '118.727', '117.133', '56600', '3085889', 'FVZ7']
['2017-09-05 09:20 Tue', '118.617', '118.367', '118.523', '118.633', '118.422', '118.727', '117.133', '302500', '3085887', 'FVZ7']
['2017-09-06 09:20 Wed', '118.789', '118.820', '118.836', '118.891', '118.766', '118.891', '117.133', '159300', '3149667', 'FVZ7']
['2017-09-07 09:20 Thu', '118.742', '118.617', '118.625', '118.789', '118.625', '118.891', '117.133', '204100', '3147436', 'FVZ7']
['2017-09-08 09:20 Fri', '118.852', '118.844', '118.906', '119.047', '118.844', '119.047', '117.133', '266500', '3128909', 'FVZ7']
['2017-09-11 09:20 Mon', '118.602', '118.836', '118.609', '118.750', '118.594', '119.047', '117.133', '201400', '3130622', 'FVZ7']
['2017-09-12 09:20 Tue', '118.359', '118.547', '118.508', '118.539', '118.352', '119.047', '117.133', '223100', '3136167', 'FVZ7']
['2017-09-13 09:20 Wed', '118.313', '118.344', '118.352', '118.414', '118.313', '119.047', '117.133', '151800', '3116080', 'FVZ7']
['2017-09-14 09:20 Thu', '118.055', '118.211', '118.242', '118.273', '118.016', '119.047', '117.133', '387300', '3117985', 'FVZ7']
['2017-09-15 09:20 Fri', '118.148', '118.133', '118.188', '118.227', '118.023', '119.047', '117.133', '292400', '3077536', 'FVZ7']
['2017-09-19 09:20 Tue', '117.992', '117.945', '117.938', '118.031', '117.930', '119.047', '117.133', '169300', '2989382', 'FVZ7']
['2017-09-20 09:20 Wed', '117.969', '117.898', '117.891', '118.023', '117.891', '119.047', '117.133', '144100', '2956822', 'FVZ7']
['2017-09-21 09:20 Thu', '117.711', '117.648', '117.672', '117.734', '117.617', '119.047', '117.133', '305200', '2980249', 'FVZ7']
['2017-09-22 09:20 Fri', '117.75', '117.617', '117.602', '117.773', '117.602', '119.047', '117.133', '209200', '2969120', 'FVZ7']
['2017-09-25 09:27 Mon', '117.734', '117.695', '117.711', '117.828', '117.664', '119.047', '117.133', '184800', '2929662', 'FVZ7']
['2017-09-27 09:27 Wed', '117.523', '117.820', '117.781', '117.797', '117.469', '119.047', '117.133', '433200', '2962972', 'FVZ7']
['2017-09-28 09:27 Thu', '117.539', '117.563', '117.555', '117.617', '117.391', '119.047', '117.133', '311700', '2985966', 'FVZ7']
['2017-09-29 09:27 Fri', '117.672', '117.664', '117.656', '117.703', '117.594', '119.047', '117.133', '234200', '2997102', 'FVZ7']
