['2017-08-29 09:20 Tue', '14.19', '13.93', '13.05', '14.80', '13.00', '20.10', '12.35', '43500', '263067', 'VX7U']
['2017-08-30 09:20 Wed', '13.33', '13.93', '13.15', '13.42', '13.00', '20.10', '12.35', '12200', '260968', 'VX7U']
['2017-08-31 09:20 Thu', '13.00', '13.93', '13.20', '13.25', '12.93', '20.10', '12.35', '8000', '254165', 'VX7U']
['2017-09-01 09:20 Fri', '12.55', '13.93', '12.60', '12.80', '12.48', '20.10', '12.35', '11200', '247094', 'VX7U']
['2017-09-04 09:20 Mon', '13.25', '13.93', '13.40', '13.55', '13.05', '20.10', '12.35', '8800', '247094', 'VX7U']
['2017-09-05 09:20 Tue', '13.33', '13.93', '13.40', '13.55', '13.02', '20.10', '12.35', '23800', '247094', 'VX7U']
['2017-09-06 09:20 Wed', '13.20', '13.93', '13.20', '13.47', '13.15', '20.10', '12.35', '14600', '239002', 'VX7U']
['2017-09-07 09:20 Thu', '13.04', '13.93', '13.15', '13.35', '13.00', '20.10', '12.35', '10600', '234379', 'VX7U']
['2017-09-08 09:20 Fri', '13.15', '13.93', '12.85', '13.35', '12.83', '20.10', '12.35', '13500', '224200', 'VX7U']
['2017-09-11 09:20 Mon', '12.60', '13.93', '12.95', '13.10', '12.40', '20.10', '12.35', '16700', '224200', 'VX7U']
['2017-09-12 09:20 Tue', '11.97', '13.93', '12.05', '12.15', '11.95', '20.10', '11.95', '9700', '192406', 'VX7U']
['2017-09-13 09:20 Wed', '13.37', '14.58', '13.35', '13.40', '13.30', '19.70', '13.00', '4800', '214109', 'VX7V']
['2017-09-14 09:20 Thu', '13.03', '14.58', '12.95', '13.25', '12.90', '19.70', '12.90', '17800', '241686', 'VX7V']
['2017-09-15 09:20 Fri', '13.10', '14.58', '13.05', '13.36', '12.95', '19.70', '12.90', '13300', '271596', 'VX7V']
['2017-09-19 09:20 Tue', '12.39', '14.58', '12.40', '12.52', '12.35', '19.70', '12.35', '13800', '308606', 'VX7V']
['2017-09-20 09:20 Wed', '12.39', '14.58', '12.40', '12.56', '12.35', '19.70', '12.35', '7400', '317808', 'VX7V']
['2017-09-21 09:20 Thu', '12.29', '14.58', '12.30', '12.47', '12.25', '19.70', '12.25', '7800', '355129', 'VX7V']
['2017-09-22 09:20 Fri', '12.58', '14.58', '12.35', '12.85', '12.32', '19.70', '12.25', '11900', '362978', 'VX7V']
