['2017-08-29 09:20 Tue', '13.43', '11.32', '13.33', '14.34', '13.13', '23.01', '8.84', '', '', 'VIX:IND']
['2017-08-30 09:20 Wed', '11.97', '11.70', '11.40', '11.98', '11.34', '23.01', '8.84', '', '', 'VIX:IND']
['2017-08-31 09:20 Thu', '10.96', '11.22', '11.07', '11.22', '10.83', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-01 09:20 Fri', '10.05', '10.59', '10.33', '10.46', '10.02', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-04 09:20 Mon', '10.13', '10.59', '10.33', '10.46', '10.02', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-05 09:20 Tue', '11.80', '10.13', '11.75', '11.94', '11.54', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-06 09:20 Wed', '11.90', '12.23', '12.27', '12.53', '11.90', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-07 09:20 Thu', '11.56', '11.63', '11.93', '11.98', '11.42', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-08 09:20 Fri', '12.03', '11.55', '11.87', '12.23', '11.85', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-11 09:20 Mon', '11.08', '12.12', '11.38', '11.39', '11.07', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-12 09:20 Tue', '10.56', '10.73', '10.66', '10.68', '10.44', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-13 09:20 Wed', '10.72', '10.58', '10.72', '10.86', '10.68', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-14 09:20 Thu', '10.93', '10.50', '10.57', '11.04', '10.57', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-15 09:20 Fri', '10.69', '10.44', '10.51', '10.74', '10.38', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-19 09:20 Tue', '9.89', '10.15', '10.16', '10.16', '9.88', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-20 09:20 Wed', '10.02', '10.18', '10.04', '10.07', '9.98', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-21 09:20 Thu', '9.68', '9.78', '9.74', '9.76', '9.63', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 09:20 Fri', '9.98', '9.67', '9.90', '9.98', '9.74', '23.01', '8.84', '', '', 'VIX:IND']
